mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.049178695678711,0.016620822991326424,0.07336554527282715,0.002228532159623325,9,5,398,"{'rf__max_depth': 9, 'rf__min_samples_split': 5, 'rf__n_estimators': 398}",0.821992821992822,0.8230686571829355,0.8323213505707785,0.8134180416971482,0.8187370302704037,0.8219075803428175,0.006195589239230074,17
0.34771270751953126,0.013901526141810311,0.02661304473876953,0.0014129040601274024,17,4,121,"{'rf__max_depth': 17, 'rf__min_samples_split': 4, 'rf__n_estimators': 121}",0.8155395709043778,0.8336007907436479,0.8323213505707785,0.8133050270439819,0.8305374145968037,0.8250608307719179,0.008769177215843946,2
0.47594366073608396,0.023627910170473578,0.03502697944641113,0.003293471646754764,23,8,171,"{'rf__max_depth': 23, 'rf__min_samples_split': 8, 'rf__n_estimators': 171}",0.82215160041247,0.8158295645475133,0.836401377785134,0.8134180416971482,0.823867006546675,0.8223335181977882,0.008025914132165295,13
1.0202129364013672,0.017616263907957525,0.06799960136413574,0.0019821462810722824,21,8,380,"{'rf__max_depth': 21, 'rf__min_samples_split': 8, 'rf__n_estimators': 380}",0.82215160041247,0.8193185867178542,0.836401377785134,0.8134180416971482,0.8211396751394519,0.8224858563504116,0.007587127614535938,11
0.4053494453430176,0.008177482602314316,0.031087303161621095,0.001568619199453607,13,9,149,"{'rf__max_depth': 13, 'rf__min_samples_split': 9, 'rf__n_estimators': 149}",0.8106736569932377,0.8158295645475133,0.836401377785134,0.8108790024919054,0.8211396751394519,0.8189846553914484,0.00951541097997779,32
0.4914976119995117,0.009225970841729795,0.0358367919921875,0.002439499649803816,10,9,180,"{'rf__max_depth': 10, 'rf__min_samples_split': 9, 'rf__n_estimators': 180}",0.814849869160214,0.8096294901766027,0.8275630256973541,0.8134180416971482,0.8187370302704037,0.8168394914003445,0.006103177434071681,39
0.844495153427124,0.02194681181495587,0.05599088668823242,0.0018119686992113583,24,6,307,"{'rf__max_depth': 24, 'rf__min_samples_split': 6, 'rf__n_estimators': 307}",0.8192651149172888,0.8167462450433827,0.8323213505707785,0.8108790024919054,0.8211396751394519,0.8200702776325614,0.007034336038724448,31
0.9585832118988037,0.012982251806490881,0.06568036079406739,0.0030117323179780003,26,5,343,"{'rf__max_depth': 26, 'rf__min_samples_split': 5, 'rf__n_estimators': 343}",0.8192651149172888,0.8262081833510405,0.8404542853232809,0.8083552821672354,0.823867006546675,0.8236299744611042,0.0104127710508443,4
0.7666229724884033,0.00872330826839974,0.05527276992797851,0.002293372666685401,4,9,326,"{'rf__max_depth': 4, 'rf__min_samples_split': 9, 'rf__n_estimators': 326}",0.7980344090728649,0.8046387164034223,0.8148835066348563,0.810972422575205,0.8128218010761056,0.8082701711524909,0.0061597726071773076,46
0.825889253616333,0.008737590499239282,0.05934720039367676,0.0010722400472928104,3,5,363,"{'rf__max_depth': 3, 'rf__min_samples_split': 5, 'rf__n_estimators': 363}",0.7980344090728649,0.8046387164034223,0.8089863837915239,0.810972422575205,0.8038829228757206,0.8053029709437475,0.0044944404387931795,50
0.7929018020629883,0.020057034738590784,0.05511288642883301,0.004034339247368264,24,6,285,"{'rf__max_depth': 24, 'rf__min_samples_split': 6, 'rf__n_estimators': 285}",0.8192651149172888,0.8167462450433827,0.8404542853232809,0.8108790024919054,0.8211396751394519,0.8216968645830619,0.009995993931456663,20
0.3139804363250732,0.01473466390754254,0.027333688735961915,0.004326804141913194,27,2,108,"{'rf__max_depth': 27, 'rf__min_samples_split': 2, 'rf__n_estimators': 108}",0.8041796357601946,0.8339566379040063,0.8368984827078972,0.809237678083929,0.8267263792996205,0.8221997627511296,0.013171995709033484,16
0.6538690567016602,0.0444029238488716,0.04911360740661621,0.004845607812361686,12,9,237,"{'rf__max_depth': 12, 'rf__min_samples_split': 9, 'rf__n_estimators': 237}",0.811965811965812,0.8158295645475133,0.836401377785134,0.8108790024919054,0.8177532835181969,0.8185658080617124,0.009261767654133446,34
0.6846086025238037,0.047367130104742174,0.051254558563232425,0.005425498517226418,18,8,239,"{'rf__max_depth': 18, 'rf__min_samples_split': 8, 'rf__n_estimators': 239}",0.8192651149172888,0.8158295645475133,0.836401377785134,0.8134180416971482,0.8211396751394519,0.8212107548173073,0.008052691222003217,23
0.31540422439575194,0.02602102076694349,0.02758054733276367,0.005497242627868959,17,7,100,"{'rf__max_depth': 17, 'rf__min_samples_split': 7, 'rf__n_estimators': 100}",0.8248604524466593,0.8167462450433827,0.8323213505707785,0.8134180416971482,0.823867006546675,0.8222426192609287,0.006620510677841052,15
0.8232537269592285,0.019381923361576722,0.05577802658081055,0.0027471292591330168,14,8,293,"{'rf__max_depth': 14, 'rf__min_samples_split': 8, 'rf__n_estimators': 293}",0.82215160041247,0.8158295645475133,0.836401377785134,0.8134180416971482,0.8211396751394519,0.8217880519163435,0.007995780083209563,18
0.9934184551239014,0.015144851252675178,0.06263203620910644,0.00047341221568521794,27,4,356,"{'rf__max_depth': 27, 'rf__min_samples_split': 4, 'rf__n_estimators': 356}",0.8106482889091584,0.836616293759151,0.8404542853232809,0.8082523028307198,0.8211396751394519,0.8234221691923522,0.013135330563045038,8
